Epochs,B_VGG_16_Train_Acc,B_VGG16_Test_Acc,B_VGG16_Train_Loss,B_VGG16_Test_Loss,B_ResNet34_Train_Acc,B_ResNet34_Test_Acc,B_ResNet34_Train_Loss,B_ResNet34_Test_Loss,B_ResNet50_Train_Acc,B_ResNet50_Test_Acc,B_ResNet50_Train_Loss,B_ResNet50_Test_Loss,B_AlexNet_Train_Acc,B_AlexNet_Test_Acc,B_AlexNet_Train_Loss,B_AlexNet_Test_Loss
21,80.87962963,76.2962963,0.519418658,0.720089367,99.9537037,81.48148148,0.005061944,0.899589877,98.47222222,81.2962963,0.05784931,0.650737343,50.04595588,46.98004214,1.316715942,1.332290972
22,80.41666667,75,0.531742979,0.744644428,99.76851852,83.88888889,0.007933067,0.806015257,98.42592593,77.96296296,0.050165308,0.709369544,48.62132353,46.50735294,1.382917781,1.461868146
23,81.62037037,68.7037037,0.484275904,0.871741887,99.90740741,83.33333333,0.005192444,0.77933477,98.93518519,80.37037037,0.03791421,0.735797525,50.55147059,47.29516822,1.328968179,1.477904783
24,81.99074074,70.74074074,0.49660517,0.806799596,99.58333333,82.77777778,0.012520225,0.813777506,98.7037037,80.18518519,0.048991871,0.708464783,49.95404412,50.23634469,1.282045157,1.331627944
25,84.49074074,68.7037037,0.444792553,0.900215051,99.81481481,84.07407407,0.005111232,0.733593969,99.12037037,79.44444444,0.03996404,0.711474908,51.14889706,51.52310939,1.257244698,1.303583334
26,83.42592593,75.18518519,0.457224396,0.727315696,99.90740741,83.33333333,0.004297128,0.755770098,98.93518519,81.48148148,0.047171453,0.702918342,52.94117647,49.13340351,1.252213759,1.349706713
27,85.13888889,74.62962963,0.411967849,0.820503465,99.90740741,84.62962963,0.004398938,0.751356395,99.07407407,81.85185185,0.036668465,0.696689991,52.84926471,51.10294118,1.275548825,1.304740906
28,84.30555556,76.66666667,0.44339089,0.653436366,99.90740741,85.37037037,0.005818531,0.705043638,99.16666667,81.11111111,0.0311154,0.714486199,52.02205882,49.6848741,1.274046758,1.319146752
29,85.78703704,80,0.380987048,0.693137058,99.58333333,84.81481481,0.011807207,0.79158429,99.21296296,79.44444444,0.032347657,0.706291975,52.98713235,48.55567252,1.228197436,1.292112393
30,87.77777778,76.66666667,0.348552941,0.712886556,99.9537037,83.14814815,0.005784477,0.815400941,99.16666667,79.62962963,0.032490274,0.706018108,55.56066176,50.31512625,1.18156461,1.304910702
31,87.91666667,76.85185185,0.334460513,0.718987532,99.90740741,82.22222222,0.004770515,0.807427115,99.44444444,80.55555556,0.030871777,0.748790415,55.14705882,52.33718507,1.156988781,1.264876835
32,87.73148148,75,0.3606603,0.673842453,100,83.33333333,0.002617964,0.798085116,99.35185185,80.92592593,0.027767376,0.728815407,55.51470588,53.49264706,1.189624511,1.254592443
33,87.5462963,73.14814815,0.341161846,0.833261723,99.9537037,84.44444444,0.00442567,0.823352202,99.67592593,79.81481481,0.019033915,0.724324837,57.26102941,54.98949605,1.118601741,1.393357922
34,87.08333333,78.7037037,0.353007436,0.681839818,99.76851852,82.96296296,0.006994494,0.72531204,99.39814815,79.62962963,0.025883909,0.729433016,57.8125,46.34979017,1.099030047,1.556353906
35,89.67592593,76.2962963,0.286771526,0.865115132,99.9537037,83.88888889,0.004185161,0.769598786,99.16666667,79.81481481,0.027696609,0.675753477,57.12316176,49.47479017,1.138970679,1.396347116
36,90.23148148,77.03703704,0.279238495,0.708377436,99.90740741,84.25925926,0.003296973,0.767585384,99.30555556,81.2962963,0.024446843,0.704300649,57.72058824,51.15546234,1.096521675,1.354994963
37,90.69444444,77.03703704,0.264655741,0.779506422,99.86111111,84.44444444,0.00539655,0.766761944,99.67592593,82.96296296,0.016959999,0.674997528,58.63970588,55.06827744,1.092240436,1.257963871
38,89.86111111,77.96296296,0.288110093,0.799829555,99.90740741,85.37037037,0.00416907,0.733831104,99.53703704,82.77777778,0.025214877,0.676241906,57.85845588,52.12710097,1.118040487,1.241936642
