Epochs,G_AlexNet_Train_Acc,G_AlexNet_Test_Acc,G_AlexNet_Train_Loss,G_AlexNet_Test_Loss,G_ResNet34_Train_Acc,G_ResNet34_Test_Acc,G_ResNet34_Train_Loss,G_ResNet34_Test_Loss,G_ResNet50_Train_Acc,G_ResNet50_Test_Acc,G_ResNet50_Train_Loss,G_ResNet50_Test_Loss,G_VGG16_Train_Acc,G_VGG16_Test_Acc,G_VGG16_Train_Loss,G_VGG16_Test_Loss
34,0.5221354166666666,0.6039806604385376,1.3025914695527818,1.0458839535713196,99.95370370370372,91.29629629629628,0.0057885560963768,0.3171964006291495,99.67592592592592,90.74074074074076,0.0151554215973352,0.3303842014736599,89.49074074074075,85.37037037037037,0.3078255284139338,0.440356817753876
35,0.556237604882982,0.5483631094296774,1.217334959242079,1.0826401909192402,99.9074074074074,91.29629629629628,0.005602482932291,0.3386160267723931,99.95370370370372,90.1851851851852,0.0071023717413053,0.3734770750419961,90.0,85.0,0.2817413553814678,0.431544741286951
36,0.5824032757017348,0.6506696542104086,1.138692531320784,0.9666575094064076,99.95370370370372,91.48148148148148,0.0078380809521631,0.3269030104080836,99.8148148148148,91.48148148148148,0.0112828358131296,0.3342115357518196,89.81481481481481,84.81481481481481,0.3090706477489541,0.4287792406976223
37,0.5718005961842008,0.6543898979822794,1.1761264006296794,0.9393142759799956,99.95370370370372,92.77777777777776,0.0037011964082279,0.3169954319794972,99.76851851851852,90.55555555555556,0.011205421801766,0.3543335878186756,90.97222222222224,84.25925925925925,0.2586120673838784,0.5033477202934378
38,0.5716145833333334,0.4927455385526021,1.1675784058041043,1.2800397674242656,99.95370370370372,92.03703703703704,0.0045232088476255,0.2841827927364243,100.0,91.11111111111111,0.0068912881303249,0.3462607115507126,90.78703703703704,82.22222222222223,0.2696102626950425,0.5769652027417632
39,0.578062997923957,0.6661086479822794,1.1490361425611708,0.85501562555631,99.9074074074074,92.4074074074074,0.0048922468062408,0.2589798797335889,99.9074074074074,90.0,0.0079059549470377,0.334141226278411,91.1574074074074,84.25925925925925,0.240500168327023,0.4536664757658453
40,0.587549606959025,0.6573660771052042,1.1230858233239915,0.9309811542431512,99.9074074074074,90.92592592592592,0.0053827269362313,0.3447469257646137,99.8148148148148,90.0,0.0070580437741762,0.3538954026169247,91.20370370370372,83.14814814814815,0.2666716956916977,0.4775463170098031
41,0.5670262906286452,0.4972098271052043,1.1903247170978122,1.2749539613723757,99.95370370370372,91.11111111111111,0.0033268319093622,0.3506911363866594,99.9074074074074,90.92592592592592,0.0093195784241234,0.3343563195731904,90.74074074074076,82.5925925925926,0.2649123002501095,0.4519706602920504
42,0.5710565514034696,0.4564732213815053,1.1832931174172296,1.4512790441513062,100.0,92.4074074074074,0.0031832237145863,0.3037317709790336,100.0,89.44444444444444,0.0065192361875875,0.3803023580047819,90.23148148148148,81.11111111111111,0.2746002357453108,0.557354264837854
43,0.566220243771871,0.6620163917541504,1.1730792787339952,0.9237996439139048,100.0,91.48148148148148,0.0029535760438781,0.3181118338058392,99.95370370370372,90.0,0.0058134220033774,0.3834982366922001,92.77777777777776,82.77777777777777,0.2151488410308957,0.5155783523531521
44,0.6085689531432258,0.632626493771871,1.0789701210127935,0.8768354455629984,99.9074074074074,91.66666666666669,0.0041089511120363,0.3277856823470857,100.0,88.88888888888889,0.0062174853896174,0.3932604938745498,93.79629629629628,83.70370370370371,0.1823393446119392,0.5357925786691553
45,0.6114831368128458,0.5889136989911398,1.05861939324273,0.9314283728599548,100.0,91.48148148148148,0.0027715876879964,0.3008064279953639,99.72222222222224,89.07407407407408,0.0098473927697769,0.3829688959651523,93.51851851851852,86.29629629629629,0.1962205658064169,0.4154649174169582
46,0.5501612159940932,0.6380208532015482,1.1926913261413574,0.9827361305554708,100.0,92.03703703703704,0.0030004454396582,0.2713184116615189,99.95370370370372,88.33333333333333,0.0058653237236499,0.3687820641530884,93.8425925925926,81.66666666666667,0.1694805737694396,0.606834401102627
47,0.6033606198098924,0.660714308420817,1.102320624722375,0.8288248231013616,100.0,91.29629629629628,0.0025299402700244,0.2749345629579491,100.0,89.62962962962963,0.005946815606234,0.4795267995860841,92.5,86.66666666666667,0.23762520969681,0.4458921499112073
48,0.5917038718859354,0.628906269868215,1.098661435974969,0.9508841435114542,99.9074074074074,91.11111111111111,0.0043791880529812,0.3071836663617028,99.95370370370372,90.1851851851852,0.0061029849217875,0.3395313454998864,94.44444444444444,86.85185185185185,0.1522267469862366,0.4115100816330489
49,0.6201016902923584,0.6391369104385376,1.046291669209798,0.9719580809275308,100.0,91.11111111111111,0.0023266782364397,0.3261478646761841,99.86111111111111,91.85185185185183,0.0069747141713057,0.3683990314602852,95.27777777777776,86.11111111111111,0.1621875665150582,0.4546632097267052
50,0.597594247923957,0.6508556604385376,1.099148776796129,0.9446508958935738,100.0,92.77777777777776,0.0023893158307627,0.3010114009181658,99.86111111111111,90.74074074074076,0.0082660916754428,0.3586339611146185,96.01851851851852,85.92592592592592,0.1242889317355173,0.4860618318814565
