Epochs,R_AlexNet_Train_Acc,R_AlexNet_Test_Acc,R_AlexNet_Train_Loss,R_AlexNet_Test_Loss,R_ResNet34_Train_Acc,R_ResNet34_Test_Acc,R_ResNet34_Train_Loss,R_ResNet34_Test_Loss,R_ResNet50_Train_Acc,R_ResNet50_Test_Acc,R_ResNet50_Train_Loss,R_ResNet50_Test_Loss,R_VGG16_Train_Acc,R_VGG16_Test_Acc,R_VGG16_Train_Loss,R_VGG16_Test_Loss
11,0.3382936517397563,0.3301711330811183,1.6905518372853596,1.5231339931488037,98.51851851851852,89.25925925925925,0.0499831983846995,0.3806422899166743,98.51851851851852,84.62962962962963,0.0655473554506897,0.4930390483803219,59.49074074074074,75.74074074074075,1.1254896398852854,0.7428266905686435
12,0.3990575406286452,0.5109747052192688,1.5678090519375272,1.255176862080892,98.75,88.33333333333333,0.0420408728258574,0.3409262142247624,97.5925925925926,88.33333333333333,0.0699929834946113,0.4374862379497952,71.94444444444444,76.66666666666667,0.7745078521616319,0.6873133322771858
13,0.3560267885526021,0.2200520833333333,1.650044494205051,1.807269771893819,99.12037037037037,87.77777777777777,0.0356264874503454,0.4381959173414442,98.19444444444444,87.4074074074074,0.0658135654623894,0.442287223206626,74.62962962962963,80.0,0.7084005632821251,0.5411725600852686
14,0.3762400812572903,0.3588169664144516,1.6181369490093656,1.5049070517222087,99.49074074074076,89.62962962962963,0.0281932469840873,0.3669984986384709,98.05555555555556,87.4074074074074,0.0548336007358396,0.4113324715031518,77.17592592592592,81.29629629629629,0.6801912127172246,0.580273771110703
15,0.4228670663303799,0.4605654875437419,1.5319139295154147,1.2706512212753296,99.07407407407408,89.25925925925925,0.0327748565468937,0.4014818635251787,98.47222222222224,89.44444444444444,0.0617930456338559,0.359940199388398,78.05555555555556,78.14814814814815,0.6349875243271098,0.6864545617033454
16,0.4260292682382796,0.5357142885526022,1.500986377398173,1.196117103099823,99.39814814814817,90.37037037037037,0.027495794929564,0.3472921666171815,98.70370370370372,87.22222222222223,0.0585382111808832,0.4327686313125822,80.55555555555556,80.18518518518519,0.5422940955442541,0.5600999685771325
17,0.4239831368128459,0.4588913718859355,1.4552943971421983,1.2973785003026326,99.53703703703704,90.37037037037037,0.0231805134783772,0.3433265719148848,98.98148148148148,85.55555555555556,0.0442436324049006,0.4601546724637349,81.01851851851852,78.88888888888889,0.5364112030057346,0.6317347395507729
18,0.4069940480921004,0.4895833333333333,1.532787521680196,1.285396695137024,99.58333333333331,90.74074074074076,0.0205847948159584,0.3666389733552933,98.61111111111111,87.4074074074074,0.0572142918758532,0.438224732875824,82.91666666666667,83.51851851851852,0.5009579579619801,0.484295240658171
19,0.4071180588669247,0.4304315547148387,1.5403782394197252,1.3600494861602783,99.72222222222224,89.07407407407408,0.016521540511509,0.3418499115440581,98.5648148148148,86.48148148148148,0.0471484220093664,0.454802049530877,85.04629629629629,82.77777777777777,0.4321029659579782,0.438946622697746
20,0.4436383942763011,0.5024181604385376,1.4637514617707994,1.238773187001546,99.8148148148148,90.92592592592592,0.0130213840782423,0.381388203965293,98.8425925925926,87.5925925925926,0.0385330020285704,0.4689601924684312,85.41666666666667,82.96296296296296,0.4050120939226711,0.4618711742189
